Price,Area,Bedrooms,Bathrooms,Floors,AccessWidth,FacadeWidth,LegalStatus,Furnishing,CommuneDensity,CommuneCount
15.0,56.0,3.0,3.0,5.0,10.0,5.1,1,1,0.22,13.0
4.3,30.0,3.0,3.0,4.0,3.3,5.12,1,0,0.21,16.0
7.5,64.0,2.0,3.0,2.0,5.0,5.0,1,1,0.1,4.0
7.3,35.0,4.0,2.0,4.0,3.5,5.0,1,1,1.7,17.0
7.5,70.0,4.0,4.0,3.0,8.0,5.0,1,0,0.72,15.0
4.86,48.0,2.0,2.0,1.0,3.2,4.0,1,1,0.61,12.0
6.78,38.0,3.0,3.0,4.0,5.0,5.0,1,1,0.61,12.0
3.5,51.0,4.0,3.0,4.0,6.0,4.2,1,1,0.08,8.0
6.19,60.0,3.0,4.0,3.0,6.0,4.0,1,1,0.07,7.0
15.5,72.0,4.0,4.0,4.0,8.0,6.0,1,1,0.3,15.0
10.8,40.0,4.0,4.0,5.0,6.0,3.6,1,1,1.46,15.0
6.9,48.0,4.0,3.0,4.0,8.0,4.0,1,0,0.68,11.0
6.4,35.0,4.0,4.0,6.0,5.0,4.0,1,1,0.25,16.0
7.6,30.0,3.0,4.0,4.0,3.0,5.0,1,1,0.65,8.0
2.68,41.49,2.0,2.0,2.0,7.0,4.0,1,1,0.09,22.0
6.2,44.0,3.0,4.0,3.0,3.5,4.0,1,1,0.28,10.0
6.0,41.0,4.0,5.0,5.0,4.0,4.5,1,1,0.61,12.0
15.3,48.0,4.0,4.0,5.0,4.5,4.4,1,1,1.46,15.0
5.75,35.0,4.0,4.0,5.0,3.5,4.0,1,1,0.29,13.0
10.5,112.0,4.0,5.0,4.0,8.0,5.0,1,1,0.07,7.0
4.25,34.0,3.0,4.0,5.0,5.0,5.0,1,1,0.3,15.0
8.25,60.0,4.0,4.0,5.0,3.5,4.0,1,1,0.22,13.0
5.45,39.0,5.0,4.0,4.0,2.5,4.2,1,1,0.25,16.0
6.5,63.0,3.0,3.0,2.0,5.0,5.0,1,1,0.68,11.0
4.5,45.0,5.0,5.0,4.0,3.0,3.5,1,1,0.25,16.0
6.1,51.5,3.0,4.0,4.0,4.0,4.0,1,1,0.61,12.0
21.0,129.0,4.0,2.0,2.0,12.0,5.0,1,1,0.15,17.0
11.5,40.0,3.0,4.0,5.0,3.4,4.0,1,1,0.33,8.0
7.8,38.0,3.0,4.0,4.0,4.0,4.4,1,1,0.61,12.0
6.26,26.0,3.0,4.0,5.0,3.0,3.2,1,1,0.35,14.0
2.78,31.0,3.0,3.0,3.0,10.0,3.53,1,1,0.13,30.0
5.75,35.0,4.0,4.0,5.0,3.5,4.0,1,1,0.29,13.0
9.8,41.0,3.0,4.0,6.0,3.7,3.8,1,1,0.22,13.0
4.25,34.0,3.0,4.0,5.0,5.0,5.0,1,1,0.3,15.0
10.5,112.0,4.0,5.0,4.0,8.0,5.0,1,1,0.07,7.0
6.2,52.0,3.0,3.0,4.0,4.0,4.0,1,1,0.61,12.0
3.0,56.0,4.0,5.0,4.0,7.0,4.0,1,1,0.19,10.0
8.5,55.0,4.0,4.0,4.0,4.0,6.0,1,1,0.22,13.0
8.9,75.0,3.0,4.0,3.0,5.5,5.0,1,0,0.09,6.0
8.95,40.0,4.0,3.0,4.0,3.0,6.0,1,1,0.33,8.0
5.65,53.3,3.0,3.0,2.0,5.0,4.0,1,0,0.16,34.0
6.85,36.0,4.0,3.0,4.0,2.0,3.2,1,1,1.41,13.0
2.75,63.0,2.0,2.0,2.0,6.0,6.0,1,1,0.09,25.0
3.6,30.0,1.0,1.0,1.0,3.0,3.3,1,1,1.46,15.0
7.9,34.0,4.0,4.0,6.0,3.0,4.6,1,0,1.41,13.0
4.6,59.0,3.0,2.0,2.0,3.0,4.0,1,1,0.61,12.0
11.7,63.1,2.0,1.0,2.0,3.0,4.0,1,1,0.65,8.0
6.4,54.0,4.0,5.0,4.0,8.0,4.0,1,1,0.07,7.0
7.4,90.0,2.0,2.0,1.0,8.0,5.0,1,0,0.16,34.0
14.8,48.0,3.0,5.0,6.0,6.0,5.4,1,1,0.33,8.0
6.0,50.0,5.0,4.0,4.0,3.5,3.5,1,1,0.24,20.0
5.13,46.0,6.0,4.0,5.0,6.0,4.2,1,0,0.3,15.0
11.66,100.0,4.0,4.0,3.0,12.0,6.2,1,1,0.16,34.0
17.0,80.0,4.0,4.0,3.0,2.0,5.0,1,0,0.65,8.0
6.2,32.0,3.0,3.0,5.0,2.0,4.0,1,0,1.46,15.0
4.5,60.0,4.0,4.0,3.0,7.0,4.0,1,1,0.12,7.0
12.5,60.0,6.0,4.0,5.0,2.5,3.5,1,1,0.33,8.0
12.8,90.0,5.0,4.0,4.0,3.0,5.0,1,1,0.65,8.0
7.6,50.0,5.0,3.0,4.0,6.0,4.0,1,0,0.61,12.0
4.7,82.0,3.0,2.0,2.0,8.0,5.4,1,1,0.11,12.0
12.5,50.0,4.0,4.0,4.0,5.0,4.0,1,0,0.25,16.0
7.3,40.0,5.0,3.0,4.0,3.0,4.0,1,0,1.46,15.0
15.0,50.0,4.0,5.0,7.0,6.0,4.0,1,1,0.22,13.0
3.35,36.0,4.0,3.0,4.0,5.0,3.3,1,1,0.25,10.0
2.9,21.0,2.0,2.0,2.0,4.0,3.5,1,1,0.61,12.0
12.5,50.5,4.0,4.0,5.0,4.0,5.0,1,1,0.33,8.0
4.95,64.0,2.0,3.0,2.0,6.0,4.0,1,1,0.19,10.0
5.6,25.0,2.0,3.0,4.0,2.5,3.5,1,1,1.46,15.0
12.7,75.0,4.0,4.0,4.0,4.0,4.5,1,1,0.35,14.0
6.48,30.0,2.0,3.0,4.0,3.0,4.0,1,1,1.46,15.0
4.0,36.5,3.0,3.0,3.0,4.0,4.0,1,1,0.24,20.0
