Price,Area,Bedrooms,Bathrooms,Floors,AccessWidth,FacadeWidth,LegalStatus,Furnishing,District,Province,Population,DistrictArea,CommuneCount,CommuneDensity,Distribute
19.5,50.0,6.0,4.0,5.0,6.0,5.0,yes,yes,đống đa,hà nội,371606.0,10.0,17.0,1.7,37.161
18.8,55.0,6.0,4.0,6.0,5.5,4.2,yes,yes,ba đình,hà nội,221893.0,9.2,13.0,1.41,24.119
21.5,56.0,4.0,3.0,4.0,5.5,5.0,yes,yes,đống đa,hà nội,371606.0,10.0,17.0,1.7,37.161
11.7,52.0,3.0,4.0,5.0,3.0,5.7,yes,yes,đống đa,hà nội,371606.0,10.0,17.0,1.7,37.161
6.6,38.0,3.0,4.0,5.0,3.0,3.5,yes,yes,hai bà trưng,hà nội,303586.0,10.3,15.0,1.46,29.474
11.9,75.0,5.0,4.0,5.0,3.0,4.5,yes,yes,đống đa,hà nội,371606.0,10.0,17.0,1.7,37.161
7.0,35.0,3.0,4.0,5.0,3.0,3.7,yes,yes,cầu giấy,hà nội,292536.0,12.4,8.0,0.65,23.516
9.5,39.0,5.0,5.0,4.0,4.0,3.6,yes,yes,hà đông,hà nội,397854.0,49.6,15.0,0.3,8.021
2.63,42.0,3.0,3.0,3.0,4.0,4.0,yes,yes,bình tân,hồ chí minh,784173.0,51.9,10.0,0.19,15.109
9.8,38.0,4.0,5.0,6.0,2.5,4.0,yes,yes,thanh xuân,hà nội,293524.0,9.1,9.0,0.99,32.255
8.7,118.0,7.0,7.0,4.0,5.0,6.0,yes,yes,đà lạt,lâm đồng,226578.0,394.5,16.0,0.04,574
7.8,38.0,5.0,6.0,6.0,4.0,5.5,yes,yes,bắc từ liêm,hà nội,340605.0,45.2,13.0,0.29,7.529
6.4,67.8,4.0,4.0,4.0,12.0,5.0,yes,yes,dĩ an,bình dương,403760.0,60.1,7.0,0.12,6.718
10.5,35.0,4.0,5.0,6.0,3.0,5.6,yes,yes,tây hồ,hà nội,160495.0,24.4,8.0,0.33,6.578
3.7,30.0,3.0,2.0,2.0,2.0,3.5,yes,yes,gò vấp,hồ chí minh,676899.0,19.7,12.0,0.61,34.360
1.9,41.0,2.0,1.0,2.0,2.0,3.0,yes,no,bình tân,hồ chí minh,784173.0,51.9,10.0,0.19,15.109
11.65,91.0,5.0,6.0,5.0,6.0,4.2,yes,yes,quận 7,hồ chí minh,360155.0,35.7,10.0,0.28,10.088
24.5,75.0,8.0,7.0,7.0,12.0,5.5,yes,yes,hoàng mai,hà nội,506347.0,40.3,14.0,0.35,12.564
8.95,49.0,3.0,3.0,4.0,8.0,4.9,yes,no,phú nhuận,hồ chí minh,163961.0,4.9,11.0,2.24,33.461
6.9,40.0,3.0,5.0,5.0,6.0,4.0,yes,yes,gò vấp,hồ chí minh,676899.0,19.7,12.0,0.61,34.360
3.1,40.0,3.0,2.0,2.0,4.0,3.0,yes,yes,thủ đức,hồ chí minh,1013795.0,211.6,34.0,0.16,4.791
8.5,78.0,5.0,4.0,4.0,7.0,4.7,yes,yes,thủ đức,hồ chí minh,1013795.0,211.6,34.0,0.16,4.791
4.2,49.2,3.0,2.0,2.0,3.5,4.0,yes,yes,thủ đức,hồ chí minh,1013795.0,211.6,34.0,0.16,4.791
5.7,57.0,4.0,4.0,3.0,5.0,4.0,yes,no,thủ đức,hồ chí minh,1013795.0,211.6,34.0,0.16,4.791
5.9,35.0,4.0,4.0,5.0,3.0,3.5,yes,yes,hoài đức,hà nội,262978.0,85.0,20.0,0.24,3.094
15.3,50.0,4.0,4.0,5.0,4.0,4.5,yes,yes,hai bà trưng,hà nội,303586.0,10.3,15.0,1.46,29.474
7.85,43.0,3.0,4.0,4.0,4.0,6.0,yes,yes,phú nhuận,hồ chí minh,163961.0,4.9,11.0,2.24,33.461
14.4,93.0,4.0,5.0,4.0,5.0,5.0,yes,no,đông anh,hà nội,405749.0,185.6,24.0,0.13,2.186
4.85,54.0,3.0,3.0,3.0,6.0,4.5,yes,yes,quận 12,hồ chí minh,620146.0,52.8,11.0,0.21,11.745
3.2,50.0,4.0,3.0,3.0,5.0,4.4,yes,yes,an dương,hải phòng,171227.0,78.9,10.0,0.13,2.169
4.45,32.0,3.0,4.0,5.0,2.5,4.5,yes,yes,hoài đức,hà nội,262978.0,85.0,20.0,0.24,3.094
6.0,40.0,3.0,4.0,5.0,3.0,4.0,yes,yes,hai bà trưng,hà nội,303586.0,10.3,15.0,1.46,29.474
9.9,50.0,4.0,4.0,4.0,4.0,4.6,yes,yes,hai bà trưng,hà nội,303586.0,10.3,15.0,1.46,29.474
5.9,65.0,3.0,3.0,3.0,6.0,4.0,yes,yes,tân phú,hồ chí minh,485348.0,16.1,11.0,0.68,30.146
9.0,56.0,4.0,5.0,4.0,6.0,5.0,yes,yes,quận 7,hồ chí minh,360155.0,35.7,10.0,0.28,10.088
7.99,80.0,3.0,3.0,2.0,5.0,5.1,yes,no,gò vấp,hồ chí minh,676899.0,19.7,12.0,0.61,34.360
1.6,100.0,3.0,2.0,1.0,7.0,5.0,yes,yes,trảng bom,đồng nai,349279.0,323.7,17.0,0.05,1.079
24.8,90.0,5.0,4.0,4.0,8.0,5.0,yes,yes,hoàng mai,hà nội,506347.0,40.3,14.0,0.35,12.564
3.38,79.0,4.0,3.0,4.0,6.0,4.0,yes,yes,an dương,hải phòng,171227.0,78.9,10.0,0.13,2.169
21.0,75.0,6.0,6.0,7.0,6.0,4.4,yes,yes,long biên,hà nội,322549.0,59.8,13.0,0.22,5.394
5.3,30.0,3.0,4.0,5.0,2.0,3.9,yes,yes,long biên,hà nội,322549.0,59.8,13.0,0.22,5.394
15.2,88.0,4.0,5.0,5.0,12.0,4.0,yes,yes,quận 7,hồ chí minh,360155.0,35.7,10.0,0.28,10.088
11.5,70.0,5.0,5.0,5.0,8.0,4.0,yes,yes,quận 7,hồ chí minh,360155.0,35.7,10.0,0.28,10.088
7.6,30.0,3.0,4.0,5.0,3.0,5.4,yes,yes,long biên,hà nội,322549.0,59.8,13.0,0.22,5.394
4.8,35.0,4.0,3.0,4.0,3.0,5.8,yes,yes,hà đông,hà nội,397854.0,49.6,15.0,0.3,8.021
7.3,64.0,4.0,3.0,3.0,8.0,4.0,yes,no,gò vấp,hồ chí minh,676899.0,19.7,12.0,0.61,34.360
8.8,52.0,4.0,3.0,4.0,3.0,6.0,yes,yes,long biên,hà nội,322549.0,59.8,13.0,0.22,5.394
3.95,70.0,2.0,2.0,1.0,8.0,4.0,yes,yes,thủ đức,hồ chí minh,1013795.0,211.6,34.0,0.16,4.791
7.0,37.0,3.0,4.0,5.0,2.5,4.7,yes,yes,hai bà trưng,hà nội,303586.0,10.3,15.0,1.46,29.474
14.3,58.0,5.0,4.0,5.0,7.0,4.2,yes,no,nam từ liêm,hà nội,269076.0,32.2,10.0,0.31,8.364
16.0,60.0,4.0,5.0,6.0,6.0,4.3,yes,no,bắc từ liêm,hà nội,340605.0,45.2,13.0,0.29,7.529
16.0,60.0,4.0,5.0,6.0,6.0,4.3,yes,no,bắc từ liêm,hà nội,340605.0,45.2,13.0,0.29,7.529
8.9,55.0,5.0,4.0,4.0,3.0,4.0,yes,yes,nam từ liêm,hà nội,269076.0,32.2,10.0,0.31,8.364
12.9,55.0,4.0,5.0,6.0,3.0,4.8,no,yes,long biên,hà nội,322549.0,59.8,13.0,0.22,5.394
2.4,21.0,2.0,1.0,2.0,3.0,3.0,yes,yes,bình tân,hồ chí minh,784173.0,51.9,10.0,0.19,15.109
9.1,54.0,5.0,4.0,5.0,2.5,6.0,yes,yes,nam từ liêm,hà nội,269076.0,32.2,10.0,0.31,8.364
5.75,32.0,4.0,4.0,6.0,4.0,3.25,yes,yes,long biên,hà nội,322549.0,59.8,13.0,0.22,5.394
9.25,38.0,3.0,4.0,6.0,6.0,4.4,yes,yes,long biên,hà nội,322549.0,59.8,13.0,0.22,5.394
